county, state, country, county_full
"Bryan","OK","US","Bryan County"
"Buchanan","IA","US","Buchanan County"
"Buchanan","MO","US","Buchanan County"
"Buchanan","VA","US","Buchanan County"
"Buckingham","VA","US","Buckingham County"
"Bucks","PA","US","Bucks County"
"Buena Vista","IA","US","Buena Vista County"
"Buena Vista","VA","US","Buena Vista city"
"Buffalo","NE","US","Buffalo County"
"Buffalo","SD","US","Buffalo County"
"Buffalo","WI","US","Buffalo County"
"Bullitt","KY","US","Bullitt County"
"Bulloch","GA","US","Bulloch County"
"Bullock","AL","US","Bullock County"
"Buncombe","NC","US","Buncombe County"
"Bureau","IL","US","Bureau County"
"Burke","GA","US","Burke County"
"Burke","NC","US","Burke County"
"Burke","ND","US","Burke County"
"Burleigh","ND","US","Burleigh County"
"Burleson","TX","US","Burleson County"
"Burlington","NJ","US","Burlington County"
"Burnet","TX","US","Burnet County"
"Burnett","WI","US","Burnett County"
"Burt","NE","US","Burt County"
"Butler","AL","US","Butler County"
"Butler","IA","US","Butler County"
"Butler","KS","US","Butler County"
"Butler","KY","US","Butler County"
"Butler","MO","US","Butler County"
"Butler","NE","US","Butler County"
"Butler","OH","US","Butler County"
"Butler","PA","US","Butler County"
"Butte","CA","US","Butte County"
"Butte","ID","US","Butte County"
"Butte","SD","US","Butte County"
"Butts","GA","US","Butts County"
"Cabarrus","NC","US","Cabarrus County"
"Cabell","WV","US","Cabell County"
"Cabo Rojo","PR","US","Cabo Rojo Municipio"
"Cache","UT","US","Cache County"
"Caddo","LA","US","Caddo Parish"
"Caddo","OK","US","Caddo County"
"Caguas","PR","US","Caguas Municipio"
"Calaveras","CA","US","Calaveras County"
"Calcasieu","LA","US","Calcasieu Parish"
"Caldwell","KY","US","Caldwell County"
"Caldwell","LA","US","Caldwell Parish"
"Caldwell","MO","US","Caldwell County"
"Caldwell","NC","US","Caldwell County"
"Caldwell","TX","US","Caldwell County"
"Caledonia","VT","US","Caledonia County"
"Calhoun","AL","US","Calhoun County"
"Calhoun","AR","US","Calhoun County"
"Calhoun","FL","US","Calhoun County"
"Calhoun","GA","US","Calhoun County"
"Calhoun","IA","US","Calhoun County"
"Calhoun","IL","US","Calhoun County"
"Calhoun","MI","US","Calhoun County"
"Calhoun","MS","US","Calhoun County"
"Calhoun","SC","US","Calhoun County"
"Calhoun","TX","US","Calhoun County"
"Calhoun","WV","US","Calhoun County"
"Callahan","TX","US","Callahan County"
"Callaway","MO","US","Callaway County"
"Calloway","KY","US","Calloway County"
"Calumet","WI","US","Calumet County"
"Calvert","MD","US","Calvert County"
"Camas","ID","US","Camas County"
"Cambria","PA","US","Cambria County"
"Camden","GA","US","Camden County"
"Camden","MO","US","Camden County"
"Camden","NC","US","Camden County"
"Camden","NJ","US","Camden County"
"Cameron","LA","US","Cameron Parish"
"Cameron","PA","US","Cameron County"
"Cameron","TX","US","Cameron County"
"Camp","TX","US","Camp County"
"Campbell","KY","US","Campbell County"
"Campbell","SD","US","Campbell County"
"Campbell","TN","US","Campbell County"
"Campbell","VA","US","Campbell County"
"Campbell","WY","US","Campbell County"
"Camuy","PR","US","Camuy Municipio"
"Canadian","OK","US","Canadian County"
"Candler","GA","US","Candler County"
"Cannon","TN","US","Cannon County"
"Canóvanas","PR","US","Canóvanas Municipio"
"Canyon","ID","US","Canyon County"
"Cape Girardeau","MO","US","Cape Girardeau County"
"Cape May","NJ","US","Cape May County"
"Carbon","MT","US","Carbon County"
"Carbon","PA","US","Carbon County"
"Carbon","UT","US","Carbon County"
"Carbon","WY","US","Carbon County"
"Caribou","ID","US","Caribou County"
"Carlisle","KY","US","Carlisle County"
"Carlton","MN","US","Carlton County"
"Carolina","PR","US","Carolina Municipio"
"Caroline","MD","US","Caroline County"
"Caroline","VA","US","Caroline County"
"Carroll","AR","US","Carroll County"
"Carroll","GA","US","Carroll County"
"Carroll","IA","US","Carroll County"
"Carroll","IL","US","Carroll County"
"Carroll","IN","US","Carroll County"
"Carroll","KY","US","Carroll County"
"Carroll","MD","US","Carroll County"
"Carroll","MO","US","Carroll County"
"Carroll","MS","US","Carroll County"
"Carroll","NH","US","Carroll County"
"Carroll","OH","US","Carroll County"
"Carroll","TN","US","Carroll County"
"Carroll","VA","US","Carroll County"
"Carson","TX","US","Carson County"
"Carson City","NV","US","Carson City"
"Carter","KY","US","Carter County"
"Carter","MO","US","Carter County"
"Carter","MT","US","Carter County"
"Carter","OK","US","Carter County"
"Carter","TN","US","Carter County"
"Carteret","NC","US","Carteret County"
"Carver","MN","US","Carver County"
"Cascade","MT","US","Cascade County"
"Casey","KY","US","Casey County"
"Cass","IA","US","Cass County"
"Cass","IL","US","Cass County"
"Cass","IN","US","Cass County"
"Cass","MI","US","Cass County"
"Cass","MN","US","Cass County"
"Cass","MO","US","Cass County"
"Cass","ND","US","Cass County"
"Cass","NE","US","Cass County"
"Cass","TX","US","Cass County"
"Cassia","ID","US","Cassia County"
"Castro","TX","US","Castro County"
"Caswell","NC","US","Caswell County"
"Catahoula","LA","US","Catahoula Parish"
"Cataño","PR","US","Cataño Municipio"
"Catawba","NC","US","Catawba County"
"Catoosa","GA","US","Catoosa County"
"Catron","NM","US","Catron County"
"Cattaraugus","NY","US","Cattaraugus County"
"Cavalier","ND","US","Cavalier County"
"Cayey","PR","US","Cayey Municipio"
"Cayuga","NY","US","Cayuga County"
"Cecil","MD","US","Cecil County"
"Cedar","IA","US","Cedar County"
"Cedar","MO","US","Cedar County"
"Cedar","NE","US","Cedar County"
"Ceiba","PR","US","Ceiba Municipio"
"Centre","PA","US","Centre County"
"Cerro Gordo","IA","US","Cerro Gordo County"
"Chaffee","CO","US","Chaffee County"
"Chambers","AL","US","Chambers County"
"Chambers","TX","US","Chambers County"
"Champaign","IL","US","Champaign County"
"Champaign","OH","US","Champaign County"
"Chariton","MO","US","Chariton County"
"Charles","MD","US","Charles County"
"Charles City","VA","US","Charles City County"
"Charles Mix","SD","US","Charles Mix County"
"Charleston","SC","US","Charleston County"
"Charlevoix","MI","US","Charlevoix County"
"Charlotte","FL","US","Charlotte County"
"Charlotte","VA","US","Charlotte County"
"Charlottesville","VA","US","Charlottesville city"
"Charlton","GA","US","Charlton County"
"Chase","KS","US","Chase County"
"Chase","NE","US","Chase County"
"Chatham","GA","US","Chatham County"
"Chatham","NC","US","Chatham County"
"Chattahoochee","GA","US","Chattahoochee County"
"Chattooga","GA","US","Chattooga County"
"Chautauqua","KS","US","Chautauqua County"
"Chautauqua","NY","US","Chautauqua County"
"Chaves","NM","US","Chaves County"
"Cheatham","TN","US","Cheatham County"
"Cheboygan","MI","US","Cheboygan County"
"Chelan","WA","US","Chelan County"
"Chemung","NY","US","Chemung County"
"Chenango","NY","US","Chenango County"
"Cherokee","AL","US","Cherokee County"
"Cherokee","GA","US","Cherokee County"
"Cherokee","IA","US","Cherokee County"
"Cherokee","KS","US","Cherokee County"
"Cherokee","NC","US","Cherokee County"
"Cherokee","OK","US","Cherokee County"
"Cherokee","SC","US","Cherokee County"
"Cherokee","TX","US","Cherokee County"
"Cherry","NE","US","Cherry County"
"Chesapeake","VA","US","Chesapeake city"
"Cheshire","NH","US","Cheshire County"
"Chester","PA","US","Chester County"
"Chester","SC","US","Chester County"
"Chester","TN","US","Chester County"
"Chesterfield","SC","US","Chesterfield County"
"Chesterfield","VA","US","Chesterfield County"
"Cheyenne","CO","US","Cheyenne County"
"Cheyenne","KS","US","Cheyenne County"
"Cheyenne","NE","US","Cheyenne County"
"Chickasaw","IA","US","Chickasaw County"
"Chickasaw","MS","US","Chickasaw County"
"Chicot","AR","US","Chicot County"
"Childress","TX","US","Childress County"
"Chilton","AL","US","Chilton County"
"Chippewa","MI","US","Chippewa County"
"Chippewa","MN","US","Chippewa County"
"Chippewa","WI","US","Chippewa County"
"Chisago","MN","US","Chisago County"
"Chittenden","VT","US","Chittenden County"
"Choctaw","AL","US","Choctaw County"
"Choctaw","MS","US","Choctaw County"
"Choctaw","OK","US","Choctaw County"
"Chouteau","MT","US","Chouteau County"
"Chowan","NC","US","Chowan County"
"Christian","IL","US","Christian County"
"Christian","KY","US","Christian County"
"Christian","MO","US","Christian County"
"Churchill","NV","US","Churchill County"
"Ciales","PR","US","Ciales Municipio"
"Cibola","NM","US","Cibola County"
"Cidra","PR","US","Cidra Municipio"
"Cimarron","OK","US","Cimarron County"
"Citrus","FL","US","Citrus County"
"Clackamas","OR","US","Clackamas County"
"Claiborne","LA","US","Claiborne Parish"
"Claiborne","MS","US","Claiborne County"
"Claiborne","TN","US","Claiborne County"
"Clallam","WA","US","Clallam County"
"Clare","MI","US","Clare County"
"Clarendon","SC","US","Clarendon County"
"Clarion","PA","US","Clarion County"
"Clark","AR","US","Clark County"
"Clark","ID","US","Clark County"
"Clark","IL","US","Clark County"
"Clark","IN","US","Clark County"
"Clark","KS","US","Clark County"
"Clark","KY","US","Clark County"
"Clark","MO","US","Clark County"
"Clark","NV","US","Clark County"
"Clark","OH","US","Clark County"
"Clark","SD","US","Clark County"
"Clark","WA","US","Clark County"
"Clark","WI","US","Clark County"
"Clarke","AL","US","Clarke County"
"Clarke","GA","US","Clarke County"
"Clarke","IA","US","Clarke County"
"Clarke","MS","US","Clarke County"
"Clarke","VA","US","Clarke County"
"Clatsop","OR","US","Clatsop County"
"Clay","AL","US","Clay County"
"Clay","AR","US","Clay County"
"Clay","FL","US","Clay County"
"Clay","GA","US","Clay County"
"Clay","IA","US","Clay County"
"Clay","IL","US","Clay County"
"Clay","IN","US","Clay County"
"Clay","KS","US","Clay County"
"Clay","KY","US","Clay County"
"Clay","MN","US","Clay County"
"Clay","MO","US","Clay County"
"Clay","MS","US","Clay County"
"Clay","NC","US","Clay County"
"Clay","NE","US","Clay County"
"Clay","SD","US","Clay County"
"Clay","TN","US","Clay County"
"Clay","TX","US","Clay County"
"Clay","WV","US","Clay County"
"Clayton","GA","US","Clayton County"
"Clayton","IA","US","Clayton County"
"Clear Creek","CO","US","Clear Creek County"
"Clearfield","PA","US","Clearfield County"
"Clearwater","ID","US","Clearwater County"
"Clearwater","MN","US","Clearwater County"
"Cleburne","AL","US","Cleburne County"
"Cleburne","AR","US","Cleburne County"
"Clermont","OH","US","Clermont County"
"Cleveland","AR","US","Cleveland County"
"Cleveland","NC","US","Cleveland County"
"Cleveland","OK","US","Cleveland County"
"Clinch","GA","US","Clinch County"
"Clinton","IA","US","Clinton County"
"Clinton","IL","US","Clinton County"
"Clinton","IN","US","Clinton County"
"Clinton","KY","US","Clinton County"
"Clinton","MI","US","Clinton County"
"Clinton","MO","US","Clinton County"
"Clinton","NY","US","Clinton County"
"Clinton","OH","US","Clinton County"
"Clinton","PA","US","Clinton County"
"Cloud","KS","US","Cloud County"
"Coahoma","MS","US","Coahoma County"
"Coal","OK","US","Coal County"
"Coamo","PR","US","Coamo Municipio"
"Cobb","GA","US","Cobb County"
"Cochise","AZ","US","Cochise County"
"Cochran","TX","US","Cochran County"
"Cocke","TN","US","Cocke County"
"Coconino","AZ","US","Coconino County"
"Codington","SD","US","Codington County"
"Coffee","AL","US","Coffee County"
"Coffee","GA","US","Coffee County"
"Coffee","TN","US","Coffee County"
"Coffey","KS","US","Coffey County"
"Coke","TX","US","Coke County"
"Colbert","AL","US","Colbert County"
"Cole","MO","US","Cole County"
"Coleman","TX","US","Coleman County"
"Coles","IL","US","Coles County"
"Colfax","NE","US","Colfax County"
"Colfax","NM","US","Colfax County"
"Colleton","SC","US","Colleton County"
"Collier","FL","US","Collier County"
"Collin","TX","US","Collin County"
"Collingsworth","TX","US","Collingsworth County"
"Colonial Heights","VA","US","Colonial Heights city"
"Colorado","TX","US","Colorado County"
"Colquitt","GA","US","Colquitt County"
"Columbia","AR","US","Columbia County"
"Columbia","FL","US","Columbia County"
"Columbia","GA","US","Columbia County"
"Columbia","NY","US","Columbia County"
"Columbia","OR","US","Columbia County"
"Columbia","PA","US","Columbia County"
"Columbia","WA","US","Columbia County"
"Columbia","WI","US","Columbia County"
"Columbiana","OH","US","Columbiana County"
"Columbus","NC","US","Columbus County"
"Colusa","CA","US","Colusa County"
"Comal","TX","US","Comal County"
"Comanche","KS","US","Comanche County"
"Comanche","OK","US","Comanche County"
"Comanche","TX","US","Comanche County"
"Comerío","PR","US","Comerío Municipio"
"Concho","TX","US","Concho County"
"Concordia","LA","US","Concordia Parish"
"Conecuh","AL","US","Conecuh County"
"Conejos","CO","US","Conejos County"
"Contra Costa","CA","US","Contra Costa County"
"Converse","WY","US","Converse County"
"Conway","AR","US","Conway County"
"Cook","GA","US","Cook County"
"Cook","IL","US","Cook County"
"Cook","MN","US","Cook County"
"Cooke","TX","US","Cooke County"
"Cooper","MO","US","Cooper County"
"Coos","NH","US","Coos County"
"Coos","OR","US","Coos County"
"Coosa","AL","US","Coosa County"
"Copiah","MS","US","Copiah County"
"Corozal","PR","US","Corozal Municipio"
"Corson","SD","US","Corson County"
"Cortland","NY","US","Cortland County"
"Coryell","TX","US","Coryell County"
"Coshocton","OH","US","Coshocton County"
"Costilla","CO","US","Costilla County"
"Cottle","TX","US","Cottle County"
"Cotton","OK","US","Cotton County"
"Cottonwood","MN","US","Cottonwood County"
"Covington","AL","US","Covington County"
"Covington","MS","US","Covington County"
"Covington","VA","US","Covington city"
"Coweta","GA","US","Coweta County"
"Cowley","KS","US","Cowley County"
"Cowlitz","WA","US","Cowlitz County"
"Craig","OK","US","Craig County"
"Craig","VA","US","Craig County"
"Craighead","AR","US","Craighead County"
"Crane","TX","US","Crane County"
"Craven","NC","US","Craven County"
"Crawford","AR","US","Crawford County"
"Crawford","GA","US","Crawford County"
"Crawford","IA","US","Crawford County"
"Crawford","IL","US","Crawford County"
"Crawford","IN","US","Crawford County"
"Crawford","KS","US","Crawford County"
"Crawford","MI","US","Crawford County"
"Crawford","MO","US","Crawford County"
"Crawford","OH","US","Crawford County"
"Crawford","PA","US","Crawford County"
"Crawford","WI","US","Crawford County"
"Creek","OK","US","Creek County"
"Crenshaw","AL","US","Crenshaw County"
"Crisp","GA","US","Crisp County"
"Crittenden","AR","US","Crittenden County"
"Crittenden","KY","US","Crittenden County"
"Crockett","TN","US","Crockett County"
"Crockett","TX","US","Crockett County"
"Crook","OR","US","Crook County"
"Crook","WY","US","Crook County"
"Crosby","TX","US","Crosby County"
"Cross","AR","US","Cross County"
"Crow Wing","MN","US","Crow Wing County"
"Crowley","CO","US","Crowley County"
"Culberson","TX","US","Culberson County"
"Culebra","PR","US","Culebra Municipio"
"Cullman","AL","US","Cullman County"
"Culpeper","VA","US","Culpeper County"
"Cumberland","IL","US","Cumberland County"
"Cumberland","KY","US","Cumberland County"
"Cumberland","ME","US","Cumberland County"
"Cumberland","NC","US","Cumberland County"
"Cumberland","NJ","US","Cumberland County"
"Cumberland","PA","US","Cumberland County"
"Cumberland","TN","US","Cumberland County"
"Cumberland","VA","US","Cumberland County"
"Cuming","NE","US","Cuming County"
"Currituck","NC","US","Currituck County"
"Curry","NM","US","Curry County"
"Curry","OR","US","Curry County"
"Custer","CO","US","Custer County"
"Custer","ID","US","Custer County"
"Custer","MT","US","Custer County"
"Custer","NE","US","Custer County"
"Custer","OK","US","Custer County"
"Custer","SD","US","Custer County"
"Cuyahoga","OH","US","Cuyahoga County"
"Dade","GA","US","Dade County"
"Dade","MO","US","Dade County"
"Daggett","UT","US","Daggett County"
"Dakota","MN","US","Dakota County"
"Dakota","NE","US","Dakota County"
"Dale","AL","US","Dale County"
"Dallam","TX","US","Dallam County"
"Dallas","AL","US","Dallas County"
"Dallas","AR","US","Dallas County"
"Dallas","IA","US","Dallas County"
"Dallas","MO","US","Dallas County"
"Dallas","TX","US","Dallas County"
"Dane","WI","US","Dane County"
"Daniels","MT","US","Daniels County"
"Danville","VA","US","Danville city"
"Dare","NC","US","Dare County"
"Darke","OH","US","Darke County"
"Darlington","SC","US","Darlington County"
"Dauphin","PA","US","Dauphin County"
"Davidson","NC","US","Davidson County"
"Davidson","TN","US","Davidson County"
"Davie","NC","US","Davie County"
"Daviess","IN","US","Daviess County"
"Daviess","KY","US","Daviess County"
"Daviess","MO","US","Daviess County"
"Davis","IA","US","Davis County"
"Davis","UT","US","Davis County"
"Davison","SD","US","Davison County"
"Dawes","NE","US","Dawes County"
"Dawson","GA","US","Dawson County"
"Dawson","MT","US","Dawson County"
"Dawson","NE","US","Dawson County"
"Dawson","TX","US","Dawson County"
"Day","SD","US","Day County"
"De Baca","NM","US","De Baca County"
"De Soto","LA","US","De Soto Parish"
"De Witt","IL","US","De Witt County"
"Deaf Smith","TX","US","Deaf Smith County"
